x_1,x_2,y
-93204704.0,-186966128.0,0
-68080712.0,-196889360.0,0
-23441676.0,-41327920.0,0
-53268920.0,-157336800.0,0
-60229396.0,-160706880.0,0
-67859912.0,-201002176.0,0
-68693088.0,-145827104.0,0
-76214432.0,-177310512.0,0
-62887808.0,-180486352.0,0
-98976984.0,-177515520.0,0
-52109056.0,-187050368.0,0
-68913208.0,-181443216.0,0
-53132716.0,-170521008.0,0
-64791064.0,-172621424.0,0
-71535408.0,-171221648.0,0
-32369100.0,-168979120.0,0
-66861804.0,-209217648.0,0
-54696492.0,-170519312.0,0
-61023396.0,-191115904.0,0
-69732464.0,-175548112.0,0
-56864352.0,-208734944.0,0
-55115716.0,-165069824.0,0
-68771528.0,-163367040.0,0
-62173896.0,-179517824.0,0
-67546224.0,-178058272.0,0
-62782552.0,-177022608.0,0
-56000348.0,-170869264.0,0
-72907440.0,-159239440.0,0
-72452424.0,-165771984.0,0
-92516920.0,-167203504.0,0
-68510096.0,-143732464.0,0
-97155144.0,-196458208.0,0
-54287596.0,-171562048.0,0
-78076432.0,-219852688.0,0
-63558028.0,-199589488.0,0
-64489960.0,-209106224.0,0
-39515296.0,-154778496.0,0
-75809952.0,-162832176.0,0
-63943100.0,-184716112.0,0
-38986484.0,-192464816.0,0
-60387464.0,-140230464.0,0
-62387280.0,-176005552.0,0
-69085744.0,-170921424.0,0
-8749479.0,-180850016.0,0
-29181142.0,-119661992.0,0
-51624756.0,-174808256.0,0
-76944592.0,-175703648.0,0
-47974424.0,-118274784.0,0
52570720.0,-189271360.0,0
-66795104.0,-162348480.0,0
-54855388.0,-205802544.0,0
-46988336.0,-162751232.0,0
-84482128.0,-193065968.0,0
8876788.0,-58675876.0,0
-82598520.0,-168182912.0,0
-85350040.0,-181777760.0,0
-81387640.0,-162259552.0,0
-56285936.0,-178131040.0,0
-53437632.0,-175769760.0,0
-51863228.0,-160045936.0,0
-63015756.0,-172912432.0,0
-50984608.0,-178016848.0,0
-84711936.0,-167969392.0,0
-87110224.0,-183097856.0,0
-66140880.0,-203280656.0,0
-62029752.0,-190506912.0,0
-80255736.0,-172469808.0,0
-75369136.0,-175878016.0,0
-69557760.0,-196910496.0,0
-58907624.0,-191252992.0,0
-56480656.0,-174670864.0,0
-64925752.0,-168939648.0,0
-68201432.0,-198798832.0,0
-62305280.0,-162305712.0,0
-84349184.0,-188878304.0,0
-13427078.0,-137609744.0,0
-84469624.0,-228859024.0,0
-86504248.0,-191677312.0,0
